item_id,item_name
10,Counter-Strike
10,Counter-Strike
1200,Red Orchestra: Ostfront 41-45
10,Counter-Strike
300,Day of Defeat: Source
50,Half-Life: Opposing Force
240,Counter-Strike: Source
220,Half-Life 2
240,Counter-Strike: Source
0,0
4000,Garry's Mod
0,0
240,Counter-Strike: Source
3920,Sid Meier's Pirates!
220,Half-Life 2
240,Counter-Strike: Source
4000,Garry's Mod
4000,Garry's Mod
4000,Garry's Mod
43110,Metro 2033
10,Counter-Strike
300,Day of Defeat: Source
300,Day of Defeat: Source
15100,Assassin's Creed
4000,Garry's Mod
205790,Dota 2 Test
4000,Garry's Mod
4000,Garry's Mod
240,Counter-Strike: Source
3910,Sid Meier's Civilization III: Complete
4000,Garry's Mod
0,0
4000,Garry's Mod
300,Day of Defeat: Source
240,Counter-Strike: Source
4000,Garry's Mod
4000,Garry's Mod
10,Counter-Strike
0,0
220,Half-Life 2
4000,Garry's Mod
91700,E.Y.E: Divine Cybermancy
4000,Garry's Mod
4000,Garry's Mod
16730,Legendary
4000,Garry's Mod
4000,Garry's Mod
12210,Grand Theft Auto IV
33910,Arma 2
220,Half-Life 2
4000,Garry's Mod
205790,Dota 2 Test
220,Half-Life 2
220,Half-Life 2
0,0
10,Counter-Strike
4000,Garry's Mod
220,Half-Life 2
240,Counter-Strike: Source
4000,Garry's Mod
4000,Garry's Mod
4000,Garry's Mod
220,Half-Life 2
4000,Garry's Mod
4000,Garry's Mod
220,Half-Life 2
220,Half-Life 2
4000,Garry's Mod
240,Counter-Strike: Source
0,0
105600,Terraria
0,0
620,Portal 2
4000,Garry's Mod
240,Counter-Strike: Source
3390,Feeding Frenzy 2: Shipwreck Showdown Deluxe
4000,Garry's Mod
8190,Just Cause 2
4000,Garry's Mod
4000,Garry's Mod
4000,Garry's Mod
10,Counter-Strike
4000,Garry's Mod
12900,Audiosurf
4000,Garry's Mod
4000,Garry's Mod
4000,Garry's Mod
0,0
220,Half-Life 2
4000,Garry's Mod
240,Counter-Strike: Source
220,Half-Life 2
4000,Garry's Mod
320,Half-Life 2: Deathmatch
320,Half-Life 2: Deathmatch
220,Half-Life 2
10,Counter-Strike
2400,The Ship
620,Portal 2
4000,Garry's Mod
4000,Garry's Mod
0,0
0,0
4000,Garry's Mod
240,Counter-Strike: Source
4000,Garry's Mod
4000,Garry's Mod
4000,Garry's Mod
4000,Garry's Mod
240,Counter-Strike: Source
4000,Garry's Mod
70,Half-Life
220,Half-Life 2
205790,Dota 2 Test
280,Half-Life: Source
1200,Red Orchestra: Ostfront 41-45
220,Half-Life 2
620,Portal 2
4000,Garry's Mod
4000,Garry's Mod
240,Counter-Strike: Source
4000,Garry's Mod
12120,Grand Theft Auto: San Andreas
4000,Garry's Mod
4000,Garry's Mod
105600,Terraria
17470,Dead Space
240,Counter-Strike: Source
0,0
70,Half-Life
0,0
4000,Garry's Mod
240,Counter-Strike: Source
70,Half-Life
1250,Killing Floor
4000,Garry's Mod
240,Counter-Strike: Source
240,Counter-Strike: Source
2590,Alpha Prime
4000,Garry's Mod
4000,Garry's Mod
4000,Garry's Mod
4000,Garry's Mod
205790,Dota 2 Test
4000,Garry's Mod
70,Half-Life
4000,Garry's Mod
320,Half-Life 2: Deathmatch
17480,Command and Conquer: Red Alert 3
4000,Garry's Mod
500,Left 4 Dead
240,Counter-Strike: Source
4000,Garry's Mod
4000,Garry's Mod
240,Counter-Strike: Source
240,Counter-Strike: Source
10,Counter-Strike
24240,PAYDAY: The Heist
240,Counter-Strike: Source
0,0
4000,Garry's Mod
4000,Garry's Mod
4000,Garry's Mod
240,Counter-Strike: Source
4000,Garry's Mod
205790,Dota 2 Test
240,Counter-Strike: Source
300,Day of Defeat: Source
240,Counter-Strike: Source
4000,Garry's Mod
4000,Garry's Mod
0,0
4000,Garry's Mod
4000,Garry's Mod
30,Day of Defeat
205790,Dota 2 Test
4000,Garry's Mod
4000,Garry's Mod
4000,Garry's Mod
10,Counter-Strike
326460,ShellShock Live
70,Half-Life
4000,Garry's Mod
240,Counter-Strike: Source
220,Half-Life 2
4000,Garry's Mod
4000,Garry's Mod
10,Counter-Strike
0,0
300,Day of Defeat: Source
4000,Garry's Mod
4000,Garry's Mod
4000,Garry's Mod
105600,Terraria
0,0
10,Counter-Strike
4000,Garry's Mod
0,0
10,Counter-Strike
0,0
3910,Sid Meier's Civilization III: Complete
4000,Garry's Mod
550,Left 4 Dead 2
0,0
10,Counter-Strike
4000,Garry's Mod
4000,Garry's Mod
1900,Earth 2160
0,0
240,Counter-Strike: Source
730,Counter-Strike: Global Offensive
220,Half-Life 2
10,Counter-Strike
4000,Garry's Mod
4700,Medieval II: Total War
22380,Fallout: New Vegas
4000,Garry's Mod
205790,Dota 2 Test
550,Left 4 Dead 2
4000,Garry's Mod
4000,Garry's Mod
240,Counter-Strike: Source
10,Counter-Strike
205790,Dota 2 Test
23310,The Last Remnant
4000,Garry's Mod
4000,Garry's Mod
29800,Caster
300,Day of Defeat: Source
240,Counter-Strike: Source
10,Counter-Strike
4000,Garry's Mod
220,Half-Life 2
240,Counter-Strike: Source
113400,APB Reloaded
240,Counter-Strike: Source
4700,Medieval II: Total War
4000,Garry's Mod
50,Half-Life: Opposing Force
4000,Garry's Mod
4000,Garry's Mod
300,Day of Defeat: Source
4000,Garry's Mod
70,Half-Life
0,0
300,Day of Defeat: Source
0,0
29800,Caster
0,0
550,Left 4 Dead 2
205790,Dota 2 Test
4000,Garry's Mod
240,Counter-Strike: Source
4000,Garry's Mod
620,Portal 2
8930,Sid Meier's Civilization V
4000,Garry's Mod
4000,Garry's Mod
4000,Garry's Mod
205790,Dota 2 Test
4000,Garry's Mod
4000,Garry's Mod
240,Counter-Strike: Source
105600,Terraria
4000,Garry's Mod
4000,Garry's Mod
4700,Medieval II: Total War
1250,Killing Floor
34030,Napoleon: Total War
205790,Dota 2 Test
4000,Garry's Mod
0,0
4000,Garry's Mod
4000,Garry's Mod
220,Half-Life 2
10,Counter-Strike
70,Half-Life
205790,Dota 2 Test
4000,Garry's Mod
240,Counter-Strike: Source
4000,Garry's Mod
4000,Garry's Mod
4000,Garry's Mod
240,Counter-Strike: Source
105600,Terraria
300,Day of Defeat: Source
220,Half-Life 2
0,0
4000,Garry's Mod
4000,Garry's Mod
4000,Garry's Mod
4000,Garry's Mod
4000,Garry's Mod
300,Day of Defeat: Source
47870,Need for Speed: Hot Pursuit
0,0
0,0
4000,Garry's Mod
0,0
730,Counter-Strike: Global Offensive
4000,Garry's Mod
4000,Garry's Mod
4000,Garry's Mod
0,0
20,Team Fortress Classic
300,Day of Defeat: Source
8500,EVE Online
240,Counter-Strike: Source
240,Counter-Strike: Source
220,Half-Life 2
205790,Dota 2 Test
240,Counter-Strike: Source
240,Counter-Strike: Source
4000,Garry's Mod
10180,Call of Duty: Modern Warfare 2
10,Counter-Strike
70,Half-Life
220,Half-Life 2
4000,Garry's Mod
10,Counter-Strike
240,Counter-Strike: Source
10,Counter-Strike
4000,Garry's Mod
240,Counter-Strike: Source
104900,ORION: Prelude
4000,Garry's Mod
4000,Garry's Mod
10,Counter-Strike
11390,Crash Time II
4000,Garry's Mod
4760,Rome: Total War
220,Half-Life 2
240,Counter-Strike: Source
240,Counter-Strike: Source
6860,Hitman: Blood Money
4000,Garry's Mod
10180,Call of Duty: Modern Warfare 2
4000,Garry's Mod
4000,Garry's Mod
240,Counter-Strike: Source
0,0
4000,Garry's Mod
17300,Crysis
240,Counter-Strike: Source
240,Counter-Strike: Source
240,Counter-Strike: Source
4000,Garry's Mod
205790,Dota 2 Test
220,Half-Life 2
240,Counter-Strike: Source
4000,Garry's Mod
2620,Call of Duty
240,Counter-Strike: Source
4000,Garry's Mod
300,Day of Defeat: Source
4000,Garry's Mod
0,0
220,Half-Life 2
300,Day of Defeat: Source
4000,Garry's Mod
4000,Garry's Mod
4000,Garry's Mod
4000,Garry's Mod
220,Half-Life 2
0,0
0,0
240,Counter-Strike: Source
4000,Garry's Mod
400,Portal
240,Counter-Strike: Source
4000,Garry's Mod
4000,Garry's Mod
4000,Garry's Mod
220,Half-Life 2
300,Day of Defeat: Source
12210,Grand Theft Auto IV
4000,Garry's Mod
220,Half-Life 2
240,Counter-Strike: Source
0,0
338170,Ratz Instagib 2.0
0,0
4000,Garry's Mod
10,Counter-Strike
10,Counter-Strike
220,Half-Life 2
3910,Sid Meier's Civilization III: Complete
240,Counter-Strike: Source
220,Half-Life 2
0,0
0,0
4000,Garry's Mod
10,Counter-Strike
10,Counter-Strike
0,0
4000,Garry's Mod
4000,Garry's Mod
3920,Sid Meier's Pirates!
4000,Garry's Mod
220,Half-Life 2
240,Counter-Strike: Source
10,Counter-Strike
4000,Garry's Mod
4000,Garry's Mod
0,0
4000,Garry's Mod
0,0
4000,Garry's Mod
105600,Terraria
4000,Garry's Mod
105600,Terraria
17390,Spore
15700,Oddworld: Abe's Oddysee
4000,Garry's Mod
240,Counter-Strike: Source
0,0
4000,Garry's Mod
300,Day of Defeat: Source
109600,Neverwinter
10,Counter-Strike
4000,Garry's Mod
1520,DEFCON
4000,Garry's Mod
10,Counter-Strike
0,0
0,0
4000,Garry's Mod
22330,The Elder Scrolls IV: Oblivion 
4000,Garry's Mod
20,Team Fortress Classic
4000,Garry's Mod
4000,Garry's Mod
0,0
220,Half-Life 2
0,0
240,Counter-Strike: Source
4000,Garry's Mod
240,Counter-Strike: Source
0,0
4000,Garry's Mod
4000,Garry's Mod
4000,Garry's Mod
4000,Garry's Mod
240,Counter-Strike: Source
240,Counter-Strike: Source
320,Half-Life 2: Deathmatch
0,0
2400,The Ship
4000,Garry's Mod
550,Left 4 Dead 2
220,Half-Life 2
3830,Psychonauts
4000,Garry's Mod
2590,Alpha Prime
240,Counter-Strike: Source
4000,Garry's Mod
0,0
4000,Garry's Mod
550,Left 4 Dead 2
240,Counter-Strike: Source
70,Half-Life
4000,Garry's Mod
4000,Garry's Mod
240,Counter-Strike: Source
4000,Garry's Mod
4000,Garry's Mod
4000,Garry's Mod
220,Half-Life 2
10,Counter-Strike
