genres,title,release_date,id
"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']",Lost Summoner Kitty,2018-01-04,761140
"['Free to Play', 'Indie', 'RPG', 'Strategy']",Ironbound,2018-01-04,643980
"['Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports']",Real Pool 3D - Poolians,2017-07-24,670290
"['Action', 'Adventure', 'Casual']",弹炸人2222,2017-12-07,767400
"['Action', 'Adventure', 'Simulation']",Battle Royale Trainer,2018-01-04,772540
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Pro Pass,2018-01-04,774277
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Legend Pass,2018-01-04,774278
"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018-01-04,770380
"['Casual', 'Indie']",Beach Rules,2018-01-04,768880
"['Casual', 'Indie', 'Simulation']",Planetarium 2 - Zen Odyssey,2018-01-03,765320
"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",The first thrust of God,2018-01-03,773650
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - Starter Pack,2018-01-03,774271
"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",The first thrust of God - All Aircrafts,2018-01-03,773690
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - Lifetime Pack,2018-01-03,774279
"['Action', 'Adventure', 'Indie']",The Warrior Of Treasures,2018-01-03,768060
"['Racing', 'Simulation', 'Sports']",RC Plane 3 - Canyon Scenario,2017-12-22,775880
"['Racing', 'Simulation', 'Sports']",RC Plane 3 - F-53B,2017-12-23,775881
"['Action', 'Indie']",DinoBlaster,2018-01-03,653960
"['Action', 'Indie', 'Racing']",Carmageddon Max Pack,1997-06-30,282010
['Action'],Half-Life,1998-11-08,70
"['Action', 'Indie', 'RPG']",Fallen Mage,2016-11-25,752360
"['Casual', 'Indie', 'Simulation']",Vaporwave Simulator,2018-01-01,766850
"['Adventure', 'Casual', 'Indie', 'RPG']",Bitcoin Clicker,2018-01-01,716110
['Strategy'],Disciples II: Gallean's Return,2006-07-06,1640
['Strategy'],Disciples II: Rise of the Elves,2006-07-06,1630
"['Action', 'Indie', 'RPG']",The Ship: Murder Party,2006-07-11,2400
"['Action', 'Indie', 'Strategy', 'Early Access']",Souland,2017-12-29,759920
"['Action', 'Adventure', 'Indie', 'RPG']",TAROTICA VOO DOO,2017-12-29,603280
"['Casual', 'Strategy', 'Early Access']",Chronicles of Vinland,2017-12-29,753110
"['Action', 'Indie']",Orbitality,2017-12-29,753100
"['Action', 'Adventure', 'Casual']",Atomic Adam: Episode 1,2017-12-30,764280
['Action'],Advent Rising,2005-08-09,3800
"['Indie', 'Strategy']",DEFCON,2006-09-29,1520
"['Action', 'Indie', 'RPG']",The Ship: Single Player,2006-11-20,2420
"['Indie', 'Simulation']",Garry's Mod,2006-11-29,4000
['Racing'],RACE - The WTCC Game,2006-11-24,4230
"['Casual', 'Indie']",Zen of Sudoku,2006-12-14,4900
"['Casual', 'Indie']",Gumboy - Crazy Adventures™,2006-12-19,2520
['Strategy'],Ghost Master®,2003-08-23,6200
['Strategy'],Vegas: Make It Big™,2006-12-21,6210
"['Adventure', 'RPG']",Dreamfall: The Longest Journey,2006-04-17,6300
['Racing'],FlatOut 2™,2006-08-01,2990
['Racing'],FlatOut,2005-07-12,6220
"['Action', 'Adventure']",Lost Planet™: Extreme Condition,2007-06-26,6510
['Strategy'],CivCity: Rome,2006-07-24,3980
['RPG'],Arx Fatalis,2002-11-12,1700
"['Action', 'Adventure', 'RPG']",The Longest Journey,2000-11-17,6310
['Strategy'],Civilization IV®: Warlords,2006-07-24,3990
['Strategy'],Railroad Tycoon 3,2003-10-23,7610
['Strategy'],Sid Meier's Railroads!,2006-10-16,7600
['Strategy'],Railroad Tycoon II Platinum,1998-10-31,7620
['Strategy'],X-COM: Terror From the Deep,1995-04-01,7650
"['Action', 'Adventure']",Tomb Raider: Anniversary,2007-06-05,8000
['Action'],Devil May Cry® 3 Special Edition,2006-05-23,6550
"['Action', 'Adventure']",Sam &amp; Max 101: Culture Shock,2006-10-17,8200
['Action'],Final DOOM,1996-06-17,2290
"['Action', 'Adventure']",Sam &amp; Max 102: Situation: Comedy,2006-12-20,8210
['Action'],Ultimate Doom,1995-04-30,2280
['Action'],Master Levels for Doom II,1995-06-01,9160
['Action'],DOOM II,1994-05-05,2300
['Action'],Wolfenstein 3D,1994-08-03,2270
['Action'],Return to Castle Wolfenstein,2001-11-20,9010
['Action'],QUAKE Mission Pack 1: Scourge of Armagon,1997-02-28,9040
['Action'],Spear of Destiny,1993-10-10,9000
['Action'],BloodRayne,2003-09-09,3810
['Action'],QUAKE Mission Pack 2: Dissolution of Eternity,2007-08-03,9030
['Action'],QUAKE,2007-05-31,2310
['Strategy'],Genesis Rising,2007-03-20,3230
['Strategy'],"Warhammer® 40,000: Dawn of War® – Winter Assault",2006-01-01,9310
"['Action', 'RPG']",BioShock™,2007-08-21,7670
['Strategy'],"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2006-01-01,4570
['Strategy'],"Warhammer® 40,000: Dawn of War® - Dark Crusade",2006-10-09,4580
['Strategy'],Rome: Total War™ - Collection,2004-09-22,4760
['Strategy'],Rome: Total War™ - Alexander,2006-06-26,4770
['Casual'],Mystery Case Files: Madame Fate®,2007-12-14,50970
['Action'],Manhunt,2004-04-20,12130
['Racing'],Midnight Club 2,2003-07-01,12160
['Action'],Max Payne 2: The Fall of Max Payne,2003-10-14,12150
"['Action', 'Adventure']",Tomb Raider: Legend,2006-04-07,7000
['Action'],Max Payne,2001-07-25,12140
['Strategy'],Command &amp; Conquer: Red Alert 3,2008-10-28,17480
['Casual'],PuzzleQuest: Challenge of the Warlords,2007-10-10,12500
"['RPG', 'Casual', 'Adventure']",Culpa Innata,2007-10-23,12310
['Strategy'],Prison Tycoon 3™: Lockdown,2007-08-01,12510
"['Action', 'Adventure', 'Strategy']",Hunting Unlimited™ 2008,2007-09-01,12530
['Racing'],18 Wheels of Steel: American Long Haul,2007-12-03,12520
['Action'],Conflict: Denied Ops,2008-02-08,8100
['Action'],ARMA: Combat Operations,2007-05-08,2780
['Action'],Desperados 2: Cooper's Revenge,2006-05-02,9710
"['Action', 'Adventure']",Death to Spies,2007-10-16,9800
['Action'],Act of War: High Treason,2006-05-30,9760
"['Simulation', 'Strategy']",RollerCoaster Tycoon® 3: Platinum,2006-10-26,2700
['Action'],Act of War: Direct Action,2005-03-14,2710
['Action'],Unreal 2: The Awakening,2003-02-03,13200
