user_id,posted,item_id,review,sentiment_score,item_name
ITCGaming101,Posted March 1.,4000.0,"One of my second favourite steam games! it The Addons that they have in the steam workshop are really great, even the maps, player models, etc. been playing this game since 2014 when i got my steam account, and bought this game which was my first ever game on PC!",0.7768,Garry's Mod
fuckingdinasaww,"Posted July 9, 2013.",4000.0,REALLY GOOD GAME... ESPECIALLY TTT :D (Trouble in Terrorist Town),0.7155,Garry's Mod
TheSuccIsGudd,"Posted December 2, 2013.",4000.0,YES Just it has EVERYTHING!,0.5754,Garry's Mod
76561198036273792,"Posted June 12, 2014.",220.0,"I never was a big fan of the Half-Life series, I especially though this game was decent at least, but other people seem to call this ""the best FPS ever"" and ""one of the best games ever"". Personally, I just thought the game was mediocre.The gameplay is nothing really that special, it's a first person shooter, and a very simple one at that. I do like the range of weapons, from pistols to rifles to shotguns, and you can carry them all at one, so there is a lot of variety, much like Bioshock. However, the puzzles are extermely straight forward and the vehicles are so finicky, I press the D key for a millisecond and the entire boat goes in a 90 degree angle, the gameplay was just simple and nothing special. It just got boring for me in the end.The graphics weren't bad, for 2004 they look quite good, but to today's standards, they are a bit outdated to today's standard's like Infamous Second Son and the new Wolfenstein. Also I didn't care for the story or the character's for that matter, especially Gordon Freeman. He is possibly one of the boring video game protagonist. He is basically just there as a object of plot, he could be more intersting if we actually heard him speak, but he is just boring. People say that he is like Link from the Legend of Zelda, but the thing with Link is you can see his facial expreesions and see how he is feeling, making him more developed, Freeman is blank with no word of dialouge and no face in game. He is not a charactter, he is an object.Personally, I don't like this game, because of the high critical acclaim it got, and it had a very sour payoff. If you like this game, that's fine, go ahead and play it, but for me, I'll pass when Half-Life 3 eventually comes out.",0.98,Half-Life 2
AwesomeSauces101,"Posted June 13, 2014.",4000.0,"Its super fun and ha many things you can do. Imagine, Build and Publish for the world to see! I enjoy it very much.",0.92,Garry's Mod
KoonNew,Posted April 20.,4000.0,░░░░░▄▄▀▀▀▀▀▀▀▀▀▄▄░░░░░░░░░█░░░░░░░░░░░░░█░░░░░░░█░░░░░░░░░░▄▄▄░░█░░░░░░█░░▄▄▄░░▄░░███░░█░░░░░░▄█░▄░░░▀▀▀░░░▄░█▄░░░░░░█░░▀█▀█▀█▀█▀█▀░░█░░░░░░▄██▄▄▀▀▀▀▀▀▀▄▄██▄░░░░▄█░█▀▀█▀▀▀█▀▀▀█▀▀█░█▄░▄▀░▄▄▀▄▄▀▀▀▄▀▀▀▄▄▀▄▄░▀▄█░░░░▀▄░█▄░░░▄█░▄▀░░░░█░▀▄▄░█░░█▄▄▄▄▄█░░█░▄▄▀░░░░▀██▄▄███████▄▄██▀░░░░░░████████▀████████░░░░░▄▄█▀▀▀▀█░░░█▀▀▀▀█▄▄░░░░▀▄▄▄▄▄▀▀░░░▀▀▄▄▄▄▄▀░░,0.0,Garry's Mod
ItsDerRey,"Posted January 1, 2015.",4000.0,Hop on first ever time playingJoin server at 9pm3 hours later be 12amJust watched full Alien movie with some randoms ingame 1st gmod experience 10/10,0.0,Garry's Mod
76561198041906216,"Posted September 20, 2014.",4000.0, Pretty Good. Buy it on a discount,0.7269,Garry's Mod
76561198066051722,"Posted May 6, 2014.",4000.0,an amazing game with such a big variety. you will never be bored playing this if you ever are witch i doubt just download a few addons and your game will feel like new again 10/10,0.3658,Garry's Mod
Enderkills0909,"Posted February 16, 2015.",4000.0,Fun and well thats about it,0.6597,Garry's Mod
76561198098039823,Posted August 9.,4000.0,:neckbeard: feel like this rn,0.3612,Garry's Mod
CapCheeze,"Posted September 7, 2014.",304930.0,"This game is really good, hope development goes well!",0.83,Unturned
hawkiie,"Posted January 27, 2014.",12210.0,cool game,0.3182,Grand Theft Auto IV
Talerfic,"Posted June 24, 2014.",4000.0,สนุกมากๆ,0.0,Garry's Mod
battlefrog,"Posted December 23, 2014.",4000.0,Fapper's Mod,0.0,Garry's Mod
Thatcola,"Posted February 22, 2014.",4000.0,Hours of fun online and off,0.5106,Garry's Mod
TheOneTurino,"Posted February 2, 2014.",4000.0,Garry's mod (or Gmod) is a sand box game right...? your wrong I know everybody has seen the sandboxy side of Gmod but people are making maps and gamemodes that change the game for example there is a game called stop it slender which is a multiplayer slenderman game where the surviors must collect 8 pages but one person can play as slenderman and needs to kill the surviors Gmod is a game of all generes from Fighting FPS to sandbox game I recommend this game to anybody,-0.8519,Garry's Mod
avh,"Posted August 31, 2015.",4000.0,"Hahaha, i love this game.All the posibility's, is unimaginable. You think it, you can do it.A few things could be fixed, but it deserves a 9/10.Great job Valve <3",0.8294,Garry's Mod
76561198082418196,"Posted December 19, 2013.",4000.0,Great sandbox game endless things to do. Will work great on slow computers cause it runs on the well optimised source engine.,0.9186,Garry's Mod
